uf,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion,ibge_id
RO,Alta Floresta D'Oeste,,-61.9998239,-11.9355403,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense,1100015
RO,Ariquemes,,-63.03326928,-9.908462867,Ariquemes,,Ariquemes,Leste Rondoniense,1100023
RO,Cabixi,,-60.54431358,-13.49976346,Cabixi,,Colorado do Oeste,Leste Rondoniense,1100031
RO,Cacoal,,-61.44294421,-11.43386503,Cacoal,,Cacoal,Leste Rondoniense,1100049
RO,Cerejeiras,,-60.81842616,-13.19503303,Cerejeiras,,Colorado do Oeste,Leste Rondoniense,1100056
RO,Colorado do Oeste,,-60.55506746,-13.13056384,Colorado do Oeste,,Colorado do Oeste,Leste Rondoniense,1100064
RO,Corumbiara,,-60.94870117,-12.99752024,Corumbiara,,Colorado do Oeste,Leste Rondoniense,1100072
RO,Costa Marques,,-64.23165394,-12.43601388,Costa Marques,,Guajar-Mirim,Madeira-Guapor,1100080
RO,Espigo D'Oeste,,-61.02017311,-11.52855463,Espigao D'Oeste,,Cacoal,Leste Rondoniense,1100098
RO,Guajar-Mirim,,-65.32395182,-10.77388374,Guajara-Mirim,,Guajar-Mirim,Madeira-Guapor,1100106
RO,Jaru,,-62.47623071,-10.43594877,Jaru,,Ji-Paran,Leste Rondoniense,1100114
RO,Ji-Paran,,-61.94509458,-10.88205132,Ji-Parana,,Ji-Paran,Leste Rondoniense,1100122
RO,Machadinho D'Oeste,,-61.99959257,-9.42556248,Machadinho D'Oeste,,Ariquemes,Leste Rondoniense,1100130
RO,Nova Brasilndia D'Oeste,,-62.30823016,-11.72132541,Nova Brasilandia D'Oeste,,Alvorada D'oeste,Leste Rondoniense,1100148
RO,Ouro Preto do Oeste,,-62.26105519,-10.7235739,Ouro Preto do Oeste,,Ji-Paran,Leste Rondoniense,1100155
RO,Pimenta Bueno,,-61.18366567,-11.67753699,Pimenta Bueno,,Vilhena,Leste Rondoniense,1100189
RO,Porto Velho,TRUE,-63.83144565,-8.76889179,Porto Velho,,Porto Velho,Madeira-Guapor,1100205
RO,Presidente Mdici,,-61.90943868,-11.17320502,Presidente Medici,,Ji-Paran,Leste Rondoniense,1100254
RO,Rio Crespo,,-62.90001037,-9.70553671,Rio Crespo,,Ariquemes,Leste Rondoniense,1100262
RO,Rolim de Moura,,-61.78578094,-11.72225891,Rolim de Moura,,Cacoal,Leste Rondoniense,1100288
RO,Santa Luzia D'Oeste,,-61.77330546,-11.90842333,Santa Luzia D'Oeste,,Cacoal,Leste Rondoniense,1100296
RO,Vilhena,,-60.13858387,-12.74137347,Vilhena,,Vilhena,Leste Rondoniense,1100304
RO,So Miguel do Guapor,,-62.72006348,-11.69948974,Sao Miguel do Guapore,,Alvorada D'oeste,Leste Rondoniense,1100320
RO,Nova Mamor,,-65.32914902,-10.41177129,Nova Mamore,,Porto Velho,Madeira-Guapor,1100338
RO,Alvorada D'Oeste,,-62.27727487,-11.34413002,Alvorada D'Oeste,,Alvorada D'oeste,Leste Rondoniense,1100346
RO,Alto Alegre dos Parecis,,-61.85307717,-12.13177722,Alto Alegre dos Parecis,,Cacoal,Leste Rondoniense,1100379
RO,Alto Paraso,,-63.31762943,-9.716666738,Alto Paraiso,,Ariquemes,Leste Rondoniense,1100403
RO,Buritis,,-63.82967879,-10.20980541,Buritis,,Porto Velho,Madeira-Guapor,1100452
RO,Novo Horizonte do Oeste,,-61.99438766,-11.70974292,Novo Horizonte do Oeste,,Cacoal,Leste Rondoniense,1100502
RO,Cacaulndia,,-62.90318993,-10.33887284,Cacaulandia,,Ariquemes,Leste Rondoniense,1100601
RO,Campo Novo de Rondnia,,-63.62499143,-10.56841647,Campo Novo de Rondonia,,Porto Velho,Madeira-Guapor,1100700
RO,Candeias do Jamari,,-63.70002007,-8.785020704,Candeias do Jamari,,Porto Velho,Madeira-Guapor,1100809
RO,Castanheiras,,-61.9491612,-11.42684223,Castanheiras,,Cacoal,Leste Rondoniense,1100908
RO,Chupinguaia,,-60.90184775,-12.55684076,Chupinguaia,,Vilhena,Leste Rondoniense,1100924
